Cruise	Station	Type	Year	Month	Day	Hour	Minute	Longitude [degrees_east]	Latitude [degrees_north]	Bot. Depth [m]	QV:ODV:Bot Depth [m]	Depth [m]	QV:ODV:Depth [m]	Pressure [dbar]	QV:ODV:Pressure [dbar]	Temperature [degC]	QV:ODV:Temperature [degC]	Practical Salinity [dmnless]	QV:ODV:Practical Salinity [dmnless]	Dissolved Oxygen [ml/l]	QV:ODV:Dissolved Oxygen [ml/l]
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	27.2	0	27.5	0	6.94	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	28	0	28	0	6.94	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	28.2	0	28.5	0	6.94	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	29	0	29	0	6.93	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	29.2	0	29.5	0	6.94	0	6.37	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	30	0	30	0	6.94	0	6.36	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	30.2	0	30.5	0	6.94	0	6.37	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	31	0	31	0	6.96	0	6.37	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	31.2	0	31.5	0	6.96	0	6.37	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	32	0	32	0	7.02	0	6.38	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	32.2	0	32.5	0	7.05	0	6.39	0		1
ES99	0032	*	1996	7	17	6	40	23.1167	59.7333		1	33	0	33	0	7.06	0	6.39	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	1	0	1	0	6.51	0	6.31	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	1.5	0	1.5	0	6.52	0	6.31	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	2	0	2	0	6.53	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	2.5	0	2.5	0	6.53	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	3	0	3	0	6.54	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	3.5	0	3.5	0	6.54	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	4	0	4	0	6.54	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	4.5	0	4.5	0	6.54	0	6.30	0		1
ES99	0033	*	1996	7	18	7	14	22.8250	59.6833		1	5	0	5	0	6.55	0	6.30	0		1
